AGSS_Code_2016,Census_Name_2016
197,Migratory - Offshore - Shipping (NSW)
199,No usual address (NSW)
297,Migratory - Offshore - Shipping (Vic.)
299,No usual address (Vic.)
397,Migratory - Offshore - Shipping (Qld)
399,No usual address (Qld)
497,Migratory - Offshore - Shipping (SA)
499,No usual address (SA)
597,Migratory - Offshore - Shipping (WA)
599,No usual address (WA)
697,Migratory - Offshore - Shipping (Tas.)
699,No usual address (Tas.)
797,Migratory - Offshore - Shipping (NT)
799,No usual address (NT)
897,Migratory - Offshore - Shipping (ACT)
899,No usual address (ACT)
997,Migratory - Offshore - Shipping (OT)
999,No usual address (OT)
19797,Migratory - Offshore - Shipping (NSW)
19999,No usual address (NSW)
29797,Migratory - Offshore - Shipping (Vic.)
29999,No usual address (Vic.)
39797,Migratory - Offshore - Shipping (Qld)
39999,No usual address (Qld)
49797,Migratory - Offshore - Shipping (SA)
49999,No usual address (SA)
59797,Migratory - Offshore - Shipping (WA)
59999,No usual address (WA)
69797,Migratory - Offshore - Shipping (Tas.)
69999,No usual address (Tas.)
79797,Migratory - Offshore - Shipping (NT)
79999,No usual address (NT)
89797,Migratory - Offshore - Shipping (ACT)
89999,No usual address (ACT)
99797,Migratory - Offshore - Shipping (OT)
99999,No usual address (OT)
197979799,Migratory - Offshore - Shipping (NSW)
199999499,No usual address (NSW)
297979799,Migratory - Offshore - Shipping (Vic.)
299999499,No usual address (Vic.)
397979799,Migratory - Offshore - Shipping (Qld)
399999499,No usual address (Qld)
497979799,Migratory - Offshore - Shipping (SA)
499999499,No usual address (SA)
597979799,Migratory - Offshore - Shipping (WA)
599999499,No usual address (WA)
697979799,Migratory - Offshore - Shipping (Tas.)
699999499,No usual address (Tas.)
797979799,Migratory - Offshore - Shipping (NT)
799999499,No usual address (NT)
897979799,Migratory - Offshore - Shipping (ACT)
899999499,No usual address (ACT)
997979799,Migratory - Offshore - Shipping (OT)
999999499,No usual address (OT)
19999949999,19999949999
19797979991,19797979991
19797979992,19797979992
19797979993,19797979993
29999949999,29999949999
29797979991,29797979991
29797979992,29797979992
29797979993,29797979993
39999949999,39999949999
39797979991,39797979991
39797979992,39797979992
39797979993,39797979993
49999949999,49999949999
49797979991,49797979991
49797979992,49797979992
49797979993,49797979993
59999949999,59999949999
59797979991,59797979991
59797979992,59797979992
59797979993,59797979993
69999949999,69999949999
69797979991,69797979991
69797979992,69797979992
69797979993,69797979993
69797979994,69797979994
79999949999,79999949999
79797979991,79797979991
79797979992,79797979992
79797979993,79797979993
89999949999,89999949999
89797979991,89797979991
99999949999,99999949999
99797979993,99797979993
